job	n_mut	iptm_nb	d_iptm	ipsae	ipsae_src	d_ipsae	ipsae_d0chn	ipsae_d0dom	pdockq2	d_pdockq2	pdockq	lis	iptm_ag	ptm	iptm_d0chn	nb_plddt	cdr3_plddt	d_cdr3	iface_pae	n_contacts	dockq	n_models
5imk_m_v14	2	0.754703		0.409348	공식		0.580308	0.541317	0.3593		0.2999	0.353	0.647207	0.804249	0.564364	95.2747	95.8973		5.73612	37		1
5imk_m_v15	3	0.716913		0.34868	공식		0.519962	0.477208	0.3236		0.3289	0.2967	0.636049	0.800405	0.478307	95.1751	95.6125		6.86154	36		1
5imk_m_v16	1	0.741085		0.383694	공식		0.558698	0.51384	0.3739		0.3106	0.3344	0.63828	0.801485	0.536085	95.5017	96.2674		5.82429	36		1
5imk_m_v17	2	0.892983		0.772365	공식		0.890807	0.88777	0.6666		0.3219	0.5571	0.801318	0.899479	0.886168	94.1313	92.216		1.62853	47		1
5imk_m_v18	3	0.907302		0.809826	공식		0.909889	0.907573	0.7029		0.334	0.5806	0.816864	0.9073	0.904959	94.0017	91.2812		1.69855	46		1
5imk_m_v19	1	0.753704		0.407099	공식		0.572003	0.534315	0.3506		0.3401	0.3444	0.654124	0.804335	0.542694	95.3917	94.9916		5.94612	41		1
5imk_m_v20	2	0.664103		0.257078	공식		0.463749	0.396249	0.1444		0.2229	0.2294	0.570732	0.775131	0.40898	92.7252	87.9699		8.17885	37		1
5imm_m_v01	1	0.904435		0.84776	공식		0.910275	0.909489	0.8559		0.3849	0.7135	0.906498	0.938644	0.908877	94.7638	96.42		1.0773	42		1
5imm_m_v02	2	0.850467		0.713026	공식		0.827318	0.823379	0.7576		0.3617	0.6343	0.864417	0.908304	0.827318	94.6554	96.2324		2.11551	41		1
5imm_m_v03	3	0.773917		0.509498	공식		0.668118	0.66199	0.2165		0.1441	0.4898	0.797325	0.880917	0.668118	88.2545	75.6956		5.10104	43		1
5imm_m_v04	1	0.874975		0.765881	공식		0.861587	0.858219	0.7992		0.3912	0.6811	0.881494	0.923715	0.861587	95.1135	96.5585		1.69522	44		1
5imm_m_v05	2	0.827158		0.63812	공식		0.774291	0.769424	0.5933		0.3641	0.602	0.83288	0.895911	0.774291	94.064	94.6898		3.39184	46		1
5imm_m_v06	3	0.873608		0.777622	공식		0.871863	0.869127	0.462		0.1737	0.6706	0.888717	0.922647	0.871863	90.3418	83.3256		2.12	40		1
5imm_m_v07	1	0.894017		0.826948	공식		0.898143	0.896007	0.7975		0.3607	0.6972	0.898925	0.928994	0.893955	94.4574	96.6895		1.48157	41		1
5imm_m_v08	2	0.813006		0.606221	공식		0.74673	0.742176	0.2319		0.1693	0.5652	0.820393	0.889134	0.734207	86.3152	66.3452		3.74492	58		1
5imm_m_v09	3	0.825079		0.630515	공식		0.770289	0.76529	0.6428		0.3843	0.5886	0.838181	0.901624	0.770289	94.9075	96.5171		3.24438	45		1
5imm_m_v10	1	0.895724		0.832421	공식		0.900754	0.899597	0.8374		0.3777	0.7	0.898928	0.932758	0.899312	94.624	96.6171		1.19646	42		1
5imm_m_v11	2	0.814796		0.60269	공식		0.74885	0.743586	0.459		0.2626	0.5723	0.81201	0.88756	0.744862	92.5536	89.2481		4.08002	41		1
5imm_m_v12	3	0.847667		0.706598	공식		0.823444	0.819403	0.4098		0.3169	0.6285	0.859878	0.906424	0.823444	91.651	87.1299		3.99399	55		1
5imm_m_v13	1	0.849121		0.700369	공식		0.816182	0.812052	0.8165		0.3664	0.6278	0.857377	0.906701	0.816182	95.0277	96.5169		1.94983	39		1
5imm_m_v14	2	0.846619		0.697368	공식		0.813497	0.810291	0.8282		0.3874	0.6302	0.855141	0.906938	0.813497	95.0274	96.263		1.84534	41		1
5imm_m_v15	3	0.819517		0.629822	공식		0.767155	0.762215	0.694		0.3573	0.5699	0.829842	0.891006	0.767155	95.1973	96.7719		3.08895	39		1
5imm_m_v16	1	0.870342		0.75013	공식		0.84874	0.846096	0.8509		0.389	0.6677	0.871582	0.919721	0.84874	95.2267	96.5493		1.5505	41		1
5imm_m_v17	2	0.727202		0.391242	공식		0.558375	0.551449	0.2655		0.2338	0.4217	0.722332	0.842273	0.558375	89.6502	80.5956		5.06477	47		1
5imm_m_v18	3	0.830532		0.637385	공식		0.769613	0.76597	0.5758		0.3336	0.5938	0.83528	0.898024	0.765083	93.0915	91.6051		3.13298	46		1
5imm_m_v19	1	0.839818		0.683539	공식		0.808266	0.803923	0.5744		0.3929	0.6098	0.851571	0.903321	0.808266	94.6089	95.3322		3.52098	51		1
5imm_m_v20	2	0.573698		0.20051	공식		0.371173	0.347082	0.0866		0.1659	0.1684	0.614202	0.785011	0.349177	91.1291	83.6397		10.2094	36		1
6xzu_m_v01	1	0.34352		0	공식		0	0	0.0153		0.1076	0.0166	0.343542	0.658799	0.139237	82.0415	47.1138		16.9795	52		1
6xzu_m_v02	2	0.88594		0.770245	공식		0.875384	0.868954	0.7455		0.448	0.6262	0.867537	0.91677	0.852514	92.8333	86.3986		2.27272	52		1
6xzu_m_v03	3	0.561024		0.098986	공식		0.36113	0.260891	0.0396		0.2018	0.1287	0.531764	0.761379	0.276022	83.9922	54.4958		10.0257	66		1
6xzu_m_v04	1	0.667311		0.25038	공식		0.402062	0.379262	0.0737		0.1955	0.2063	0.638736	0.807556	0.38626	85.0477	54.7296		8.5236	57		1
6xzu_m_v05	2	0.611391		0.176324	공식		0.374767	0.329336	0.0771		0.0928	0.1761	0.581709	0.792923	0.323887	86.3467	62.9345		8.2676	31		1
6xzu_m_v06	3	0.646324		0.226341	공식		0.386905	0.360924	0.0783		0.176	0.1709	0.620956	0.789432	0.364924	85.5652	56.4428		9.20294	47		1
6xzu_m_v07	1	0.887566		0.809548	공식		0.895243	0.891782	0.4247		0.2493	0.6366	0.848023	0.923392	0.87828	85.616	62.3132		1.50647	63		1
6xzu_m_v08	2	0.823599		0.555434	공식		0.706176	0.698632	0.233		0.1498	0.5222	0.791991	0.892467	0.694137	82.1554	50.3943		3.61995	55		1
6xzu_m_v09	3	0.748967		0.445329	공식		0.589478	0.580679	0.1914		0.2495	0.4054	0.757054	0.852485	0.589478	85.8163	60.2364		5.59296	60		1
6xzu_m_v10	1	0.845135		0.583163	공식		0.743139	0.738774	0.2221		0.1324	0.5372	0.807449	0.904412	0.739346	81.3095	48.0488		3.30417	52		1
6xzu_m_v11	2	0.663244		0.263971	공식		0.407026	0.394283	0.0741		0.1512	0.2107	0.649945	0.81401	0.395778	81.8879	51.4626		8.21372	59		1
6xzu_m_v12	3	0.883749		0.75571	공식		0.86295	0.859629	0.2743		0.1916	0.6096	0.835589	0.922618	0.852454	81.7706	52.7949		2.19093	72		1
6xzu_m_v13	1	0.819748		0.554314	공식		0.720114	0.710029	0.1905		0.1237	0.5051	0.77701	0.88814	0.707925	80.7763	48.7484		3.63163	53		1
6xzu_m_v14	2	0.854151		0.639073	공식		0.784198	0.779257	0.3077		0.1827	0.5823	0.831261	0.908829	0.769808	83.1343	54.5275		2.5927	57		1
6xzu_m_v15	3	0.526142		0.038624	공식		0.316615	0.181978	0.0307		0.1736	0.0708	0.517457	0.742121	0.23273	85.3838	57.2278		12.514	50		1
6xzu_m_v16	1	0.781454		0.464369	공식		0.605859	0.597288	0.2215		0.2168	0.436	0.757685	0.867902	0.605859	85.2292	57.8573		4.73243	54		1
6xzu_m_v17	2	0.828624		0.550033	공식		0.721536	0.712852	0.2234		0.1585	0.5075	0.774109	0.894423	0.713468	82.2447	51.1045		3.54376	57		1
6xzu_m_v18	3	0.871041		0.728596	공식		0.843494	0.842289	0.4961		0.1785	0.6042	0.821609	0.921136	0.838706	87.0636	68.0597		1.6428	40		1
6xzu_m_v19	1	0.830408		0.541565	공식		0.711166	0.702398	0.1893		0.1484	0.5056	0.780382	0.894478	0.707375	81.2453	47.4299		3.55841	64		1
6xzu_m_v20	2	0.743815		0.398871	공식		0.54215	0.53318	0.1549		0.1991	0.3827	0.731761	0.848949	0.54215	84.7072	57.2533		5.75154	59		1
5m13_m_v01	1	0.934315		0.883019	공식		0.940935	0.940188	0.6057		0.3679	0.6914	0.902699	0.956158	0.940935	93.06	88.3338		1.90459	56		1
5m13_m_v02	2	0.869947		0.737734	공식		0.842097	0.840318	0.4905		0.4007	0.558	0.826216	0.935461	0.842097	93.424	85.0854		3.31401	62		1
5m13_m_v03	3	0.90012		0.815079	공식		0.891199	0.889575	0.5773		0.3984	0.6198	0.865215	0.943205	0.891199	93.3651	89.8211		2.65391	58		1
5m13_m_v04	1	0.874907		0.770852	공식		0.842424	0.840649	0.5751		0.4528	0.5758	0.846592	0.940882	0.842424	95.1409	91.8952		3.36259	59		1
5m13_m_v05	2	0.804883		0.592979	공식		0.651587	0.649689	0.2388		0.3466	0.3929	0.787087	0.925061	0.650027	91.5553	82.2406		5.94744	56		1
5m13_m_v06	3	0.915296		0.855879	공식		0.907375	0.906241	0.5624		0.4142	0.657	0.894699	0.952138	0.907375	92.804	87.5627		2.79352	63		1
5m13_m_v07	1	0.776503		0.55151	공식		0.612051	0.610071	0.1746		0.3136	0.335	0.762219	0.915589	0.610652	90.9461	76.3097		6.81492	59		1
5m13_m_v08	2	0.809445		0.594383	공식		0.687334	0.683349	0.2392		0.3799	0.405	0.77268	0.920148	0.687334	91.9221	81.7038		5.79038	63		1
5m13_m_v09	3	0.733511		0.480481	공식		0.544274	0.540543	0.1247		0.3021	0.252	0.719126	0.900878	0.541372	89.4458	74.9811		7.90384	60		1
5m13_m_v10	1	0.894843		0.802524	공식		0.878263	0.876831	0.7395		0.4653	0.6021	0.860043	0.943428	0.878263	96.0841	94.9023		2.538	53		1
5m13_m_v11	2	0.908502		0.832337	공식		0.898753	0.897992	0.7026		0.454	0.6383	0.878954	0.951138	0.898753	95.0812	92.4493		2.25943	58		1
5m13_m_v12	3	0.904665		0.814409	공식		0.900228	0.899027	0.6815		0.432	0.63	0.861714	0.946601	0.900228	95.2544	92.1842		2.26226	56		1
5m13_m_v13	1	0.922244		0.858092	공식		0.919131	0.918509	0.7136		0.445	0.663	0.892732	0.955306	0.919131	94.3797	92.2408		1.97281	58		1
5m13_m_v14	2	0.909873		0.838776	공식		0.911723	0.911054	0.724		0.4593	0.6496	0.875172	0.94885	0.911723	95.418	92.5936		2.01932	58		1
5m13_m_v15	3	0.89783		0.800981	공식		0.890391	0.889085	0.6618		0.446	0.6067	0.854521	0.942417	0.890391	94.9755	92.4423		2.50821	58		1
5m13_m_v16	1	0.789955		0.585201	공식		0.644137	0.64184	0.1729		0.2926	0.3621	0.77487	0.916636	0.642443	89.6715	73.921		6.80058	60		1
5m13_m_v17	2	0.784767		0.553034	공식		0.651046	0.646832	0.2174		0.3406	0.3612	0.748914	0.912256	0.651046	91.3904	80.6337		5.8311	60		1
5m13_m_v18	3	0.841398		0.691714	공식		0.749683	0.74684	0.3852		0.3702	0.4827	0.81683	0.9291	0.749683	94.0077	89.5648		4.88012	53		1
5m13_m_v19	1	0.930733		0.889051	공식		0.938711	0.938132	0.7851		0.5031	0.7072	0.906431	0.957668	0.938711	95.4056	92.8183		1.62011	63		1
5m13_m_v20	2	0.903151		0.832072	공식		0.901508	0.900768	0.5813		0.3357	0.6371	0.872307	0.946342	0.901508	92.3859	83.7143		2.16392	53		1
8qf4_m_v01	1	0.926476		0.900417	공식		0.937832	0.937374	0.9021		0.5661	0.7696	0.935792	0.955896	0.937832	97.5215	97.3014		0.850026	66		1
8qf4_m_v02	2	0.897337		0.844136	공식		0.897251	0.896141	0.7869		0.518	0.7277	0.902917	0.942834	0.897251	95.877	93.2016		1.05505	70		1
8qf4_m_v03	3	0.934383		0.910559	공식		0.941189	0.940674	0.884		0.5896	0.7614	0.925582	0.952938	0.941189	97.3163	97.0152		0.884443	74		1
8qf4_m_v04	1	0.92743		0.90155	공식		0.934936	0.934372	0.8947		0.5718	0.7652	0.931383	0.953443	0.934936	97.7281	97.2333		0.864649	68		1
8qf4_m_v05	2	0.669772		0.299363	공식		0.49489	0.491445	0.1507		0.0825	0.4002	0.690099	0.864458	0.49489	89.431	67.4227		4.29431	39		1
8qf4_m_v06	3	0.920182		0.890448	공식		0.932623	0.93216	0.8014		0.5172	0.7594	0.933108	0.950608	0.932623	96.2084	94.622		0.85668	69		1
8qf4_m_v07	1	0.904916		0.863359	공식		0.911251	0.91065	0.8811		0.5698	0.7325	0.914281	0.943467	0.911251	97.4016	97.0366		1.09558	68		1
8qf4_m_v08	2	0.914549		0.882079	공식		0.92924	0.928737	0.8523		0.5445	0.7576	0.928749	0.950444	0.92924	96.8325	96.231		0.990762	67		1
8qf4_m_v09	3	0.933326		0.910925	공식		0.945388	0.945177	0.8691		0.5776	0.7857	0.942102	0.958471	0.945388	96.5015	95.4778		0.779432	74		1
8qf4_m_v10	1	0.92996		0.905503	공식		0.937642	0.9371	0.8921		0.5786	0.7644	0.936035	0.954358	0.937642	97.502	97.2267		0.845924	70		1
8qf4_m_v11	2	0.923863		0.896781	공식		0.931685	0.931094	0.888		0.5812	0.7473	0.92748	0.950747	0.931685	97.4829	97.2882		0.899658	71		1
8qf4_m_v12	3	0.903356		0.860214	공식		0.916094	0.915507	0.8363		0.5821	0.7239	0.911354	0.939041	0.906734	96.9842	96.7988		1.31879	75		1
8qf4_m_v13	1	0.920406		0.890721	공식		0.927241	0.92662	0.8911		0.5758	0.7535	0.925413	0.949994	0.927241	97.5953	97.3801		0.91713	69		1
8qf4_m_v14	2	0.910071		0.875333	공식		0.916529	0.915824	0.8184		0.5574	0.7394	0.918536	0.945156	0.916529	96.963	96.4361		1.35583	72		1
8qf4_m_v15	3	0.92843		0.902924	공식		0.937362	0.936901	0.8729		0.5832	0.7658	0.936553	0.956478	0.937362	97.704	97.3385		1.15547	73		1
8qf4_m_v16	1	0.920712		0.892551	공식		0.928725	0.928111	0.8838		0.5803	0.7485	0.926174	0.950238	0.928725	97.4056	97.1842		0.943974	71		1
8qf4_m_v17	2	0.923255		0.896207	공식		0.931116	0.930524	0.8937		0.5745	0.7649	0.93004	0.952425	0.931116	97.5661	97.1929		0.864573	69		1
8qf4_m_v18	3	0.935601		0.913474	공식		0.943155	0.942656	0.8962		0.5801	0.7649	0.932622	0.956905	0.943155	97.5211	97.172		0.979768	70		1
8qf4_m_v19	1	0.936488		0.914636	공식		0.943909	0.943417	0.906		0.5729	0.7693	0.934157	0.956191	0.943909	97.709	97.4029		0.778207	67		1
8qf4_m_v20	2	0.925929		0.893406	공식		0.929124	0.928823	0.8239		0.5978	0.7308	0.923073	0.94926	0.929124	97.6871	97.5429		1.73661	76		1
6her_m_v01	1	0.961868		0.937581	공식		0.965801	0.965801	0.9585		0.5182	0.7834	0.949874	0.970402	0.965801	98.4826	98.6901		0.792482	51		1
6her_m_v02	2	0.967414		0.948249	공식		0.971814	0.971814	0.9614		0.5253	0.8056	0.956842	0.974405	0.971814	98.5053	98.7466		0.698383	52		1
6her_m_v03	3	0.959047		0.934087	공식		0.963762	0.963762	0.9531		0.5095	0.7709	0.947041	0.967671	0.963762	98.4603	98.6347		0.858795	50		1
6her_m_v04	1	0.940581		0.883048	공식		0.933891	0.933647	0.9413		0.5169	0.7222	0.9265	0.954478	0.933891	98.4538	98.5749		1.30293	51		1
6her_m_v05	2	0.960151		0.931826	공식		0.962556	0.962556	0.958		0.5253	0.7846	0.948185	0.969225	0.962556	98.4929	98.7506		0.862766	52		1
6her_m_v06	3	0.851827		0.652859	공식		0.790798	0.789506	0.477		0.211	0.6222	0.847179	0.919249	0.790798	93.5482	80.3581		2.48969	42		1
6her_m_v07	1	0.967148		0.947929	공식		0.971629	0.971629	0.9635		0.5271	0.8027	0.956664	0.974215	0.971629	98.5821	98.826		0.710513	52		1
6her_m_v08	2	0.964411		0.943583	공식		0.969187	0.969187	0.9479		0.4965	0.7906	0.952567	0.971994	0.969187	98.1964	98.2247		0.744255	49		1
6her_m_v09	3	0.415728		0.025111	공식		0.305736	0.222989	0.048		0.0474	0.1271	0.423596	0.714672	0.20537	92.4125	74.0958		9.77313	16		1
6her_m_v10	1	0.963684		0.94212	공식		0.968339	0.968339	0.9528		0.5072	0.79	0.952877	0.971395	0.968339	98.4064	98.4795		0.769622	50		1
6her_m_v11	2	0.962255		0.93564	공식		0.964713	0.964713	0.9524		0.5143	0.7855	0.950831	0.970524	0.964713	98.4178	98.5494		0.815621	51		1
6her_m_v12	3	0.956989		0.928107	공식		0.960424	0.960424	0.8608		0.4045	0.7802	0.933848	0.968527	0.960424	96.5943	93.6259		0.93917	45		1
6her_m_v13	1	0.935668		0.868705	공식		0.925199	0.924925	0.9353		0.525	0.7042	0.918918	0.950369	0.925199	98.5453	98.7108		1.46397	52		1
6her_m_v14	2	0.901192		0.831869	공식		0.901753	0.901055	0.8602		0.3389	0.7263	0.890077	0.937187	0.901753	97.4085	94.6102		1.13949	37		1
6her_m_v15	3	0.968029		0.949576	공식		0.972558	0.972558	0.9298		0.459	0.8047	0.956916	0.974916	0.972558	97.782	97		0.727602	46		1
6her_m_v16	1	0.963599		0.939859	공식		0.967093	0.967093	0.9552		0.5289	0.7905	0.952525	0.971475	0.967093	98.4116	98.6117		0.787426	53		1
6her_m_v17	2	0.958972		0.928069	공식		0.96041	0.96041	0.8867		0.4557	0.7784	0.944972	0.968919	0.96041	97.1944	94.5504		0.919581	49		1
6her_m_v18	3	0.915814		0.77033	공식		0.862892	0.862892	0.6853		0.3075	0.6745	0.893361	0.94268	0.862892	95.6079	87.845		2.1129	42		1
6her_m_v19	1	0.894552		0.745242	공식		0.844708	0.844193	0.5285		0.2077	0.6752	0.874511	0.934902	0.844708	93.8725	81.6194		2.1953	39		1
6her_m_v20	2	0.963684		0.944147	공식		0.9695	0.9695	0.8298		0.3866	0.8055	0.94499	0.973352	0.9695	96.1909	91.1737		0.683552	46		1
9ho5_m_v01	1	0.718637		0.519266	공식		0.692421	0.676088	0.6705		0.4134	0.5144	0.814065	0.830414	0.692421	92.1677	93.6192		3.45642	46		1
9ho5_m_v02	2	0.801654		0.699367	공식		0.823366	0.81302	0.6271		0.3803	0.6	0.868831	0.867208	0.819158	87.7392	64.6805		2.74848	50		1
9ho5_m_v03	3	0.826282		0.76098	공식		0.860371	0.852944	0.7053		0.3995	0.6313	0.88122	0.880701	0.853079	88.1233	76.8945		2.18623	51		1
9ho5_m_v04	1	0.670971		0.378664	공식		0.561054	0.542244	0.4664		0.3977	0.4178	0.755342	0.801841	0.561054	91.0173	89.5486		4.75758	49		1
9ho5_m_v05	2	0.808893		0.736307	공식		0.847833	0.838695	0.6383		0.3883	0.6177	0.871345	0.871213	0.83197	89.1862	72.4244		2.52661	52		1
9ho5_m_v06	3	0.840443		0.818549	공식		0.895437	0.890156	0.7428		0.4317	0.6881	0.886865	0.894316	0.875604	90.8779	73.3904		1.64954	56		1
9ho5_m_v07	1	0.796096		0.681451	공식		0.811143	0.800227	0.5799		0.3951	0.5903	0.858977	0.863588	0.799062	89.0414	72.3913		3.07964	53		1
9ho5_m_v08	2	0.691021		0.415643	공식		0.591891	0.574609	0.3462		0.2935	0.4432	0.753209	0.812901	0.580554	85.4331	67.8354		4.37097	54		1
9ho5_m_v09	3	0.717159		0.479685	공식		0.657257	0.639868	0.595		0.4089	0.4946	0.80273	0.827639	0.657257	91.3363	90.9921		3.86649	49		1
9ho5_m_v10	1	0.716801		0.540753	공식		0.710288	0.694497	0.5931		0.3379	0.5243	0.815823	0.831643	0.710288	90.4186	86.9084		3.14216	45		1
9ho5_m_v11	2	0.692578		0.479055	공식		0.657909	0.641502	0.3976		0.2204	0.4675	0.799933	0.821124	0.657909	86.546	77.7915		3.84481	42		1
9ho5_m_v12	3	0.644068		0.319742	공식		0.497624	0.474948	0.2965		0.3295	0.3624	0.710791	0.787633	0.490987	86.7654	74.954		5.39491	53		1
9ho5_m_v13	1	0.726263		0.538084	공식		0.70787	0.692825	0.6778		0.4235	0.5333	0.817261	0.838195	0.70787	91.9684	92.3345		3.17046	48		1
9ho5_m_v14	2	0.787112		0.661872	공식		0.796915	0.785423	0.6134		0.3878	0.573	0.849628	0.856791	0.781621	89.6295	78.758		3.05368	49		1
9ho5_m_v15	3	0.741505		0.47971	공식		0.657055	0.639041	0.3425		0.2774	0.4869	0.799406	0.841482	0.657055	85.002	68.6087		4.44381	52		1
9ho5_m_v16	1	0.697965		0.479268	공식		0.657919	0.641529	0.5049		0.2946	0.4824	0.796312	0.821379	0.657919	90.7799	84.101		3.73837	42		1
9ho5_m_v17	2	0.667255		0.427076	공식		0.609928	0.591671	0.4493		0.3564	0.4219	0.780785	0.802928	0.609928	88.6255	87.9974		4.45644	48		1
9ho5_m_v18	3	0.743479		0.590874	공식		0.750652	0.736948	0.7229		0.451	0.5374	0.83951	0.846481	0.750652	91.4092	93.6117		2.92416	51		1
9ho5_m_v19	1	0.693287		0.422096	공식		0.600339	0.58224	0.5569		0.4745	0.454	0.763965	0.817206	0.5795	92.0718	92.1156		4.07779	56		1
9ho5_m_v20	2	0.818871		0.779799	공식		0.8749	0.867249	0.7284		0.4436	0.6454	0.883354	0.87685	0.863357	90.5165	81.1558		2.20236	54		1
7oao_m_v01	1	0.290927		0	공식		0	0	0.0158		0.1065	0.0111	0.298365	0.693124	0.132475	83.6226	59.5858		17.6557	40		1
7oao_m_v02	2	0.482376		0.012148	공식		0.355192	0.17262	0.0276		0.1411	0.0826	0.433136	0.762469	0.213967	83.6173	62.4641		12.6306	45		1
7oao_m_v03	3	0.672027		0.2842	공식		0.458292	0.437625	0.0854		0.1314	0.2562	0.622423	0.842801	0.441561	82.7553	58.2405		6.65707	53		1
7oao_m_v04	1	0.772356		0.528265	공식		0.672656	0.660544	0.3626		0.186	0.4331	0.732931	0.879058	0.653914	87.8666	71.6119		3.68021	39		1
7oao_m_v05	2	0.590415		0.165019	공식		0.393529	0.315675	0.067		0.2405	0.1519	0.562969	0.802147	0.323948	87.5092	76.9878		8.72991	56		1
7oao_m_v06	3	0.385403		0.011597	공식		0.34467	0.109331	0.023		0.1594	0.0595	0.3694	0.725961	0.162603	85.0111	63.2377		13.5541	47		1
